Results
Start date ,2011-01-26
End date ,2011-09-17
Option Type ,C
Expiry date ,2011-09-17
Strike price ,500


Date,Stock Price,Option Price,Implied Volatility,Delta,Hedging error,Cumulative hedging error,PNL
20110307,591.66,107.9,0.299234,0.808516,2.08493,65.8621,-23.9
20110308,592.31,108.5,0.30076,0.809644,2.00681,67.8689,-23.3
20110309,591.77,106.65,0.289957,0.815741,3.4158,71.2847,-25.15
20110310,580.3,98.8,0.302163,0.784065,1.90541,73.1901,-33
20110311,576.71,95.75,0.301492,0.776677,2.1371,75.3272,-36.05
20110314,569.99,90.55,0.302652,0.760373,2.11449,77.4417,-41.25
20110315,569.56,90.5,0.305764,0.7584,1.83456,79.2763,-41.3
20110316,557.1,83.75,0.325659,0.719059,-0.868208,78.4081,-48.05
20110317,561.36,84.95,0.312416,0.735833,0.992337,79.4004,-46.85
20110318,561.06,83.15,0.301736,0.740177,2.56847,81.9689,-48.65
20110321,576.5,94.05,0.295816,0.783001,3.0938,85.0627,-37.75
20110322,577.32,93.8,0.289591,0.789229,3.98235,89.045,-38
20110323,582.16,97.2,0.287028,0.802881,4.39867,93.4437,-34.6
20110324,586.89,100.85,0.286296,0.814989,4.54281,97.9865,-30.95
20110325,579.74,95.45,0.290019,0.797127,4.11179,102.098,-36.35
20110328,575.36,91.6,0.287944,0.788432,4.46606,106.564,-40.2
20110329,581.73,95.7,0.280315,0.809492,5.38412,111.948,-36.1
20110330,581.84,96.05,0.284038,0.807985,5.11861,117.067,-35.75
20110331,586.76,100.2,0.286601,0.818425,4.93951,122.007,-31.6
20110401,591.8,103.55,0.280559,0.834204,5.7099,127.717,-28.25
20110404,587.68,99.7,0.278118,0.827364,6.11886,133.835,-32.1
20110405,569.09,85.35,0.283733,0.778929,5.08453,138.92,-46.45
20110406,574.18,89.55,0.286906,0.790942,4.84508,143.765,-42.25
20110407,580,94,0.286723,0.806149,4.99422,148.759,-37.8
20110408,578.16,93.7,0.298685,0.795082,3.80696,152.566,-38.1
20110411,577.37,91.2,0.283122,0.803471,5.67496,158.241,-40.6
20110412,570.61,86.3,0.288859,0.783084,5.13971,163.381,-45.5
20110413,576.28,91.2,0.294168,0.795178,4.67641,168.057,-40.6
20110414,578.51,93.85,0.303201,0.796194,3.79635,171.854,-37.95
20110415,530.7,54,0.266339,0.666937,5.5767,177.43,-77.8
20110418,526.84,51.3,0.2664,0.652116,5.69952,183.13,-80.5
20110419,521.53,46.5,0.256819,0.633147,7.03406,190.164,-85.3
20110420,525.73,48.3,0.251021,0.653129,7.89064,198.055,-83.5
20110421,525.1,48.1,0.25395,0.649746,7.67644,205.731,-83.7
20110425,525.05,47.75,0.253889,0.650282,7.99134,213.722,-84.05
20110426,532.82,53.1,0.256636,0.682092,7.69142,221.414,-78.7
20110427,537.76,55.5,0.249312,0.706127,8.65832,230.072,-76.3
20110428,537.97,55.5,0.24919,0.707752,8.80385,238.876,-76.3
20110429,544.1,58.05,0.233994,0.74235,10.5895,249.465,-73.75
20110502,538.56,55.5,0.248214,0.711882,9.02394,258.489,-76.3
20110503,533.89,52.7,0.253767,0.690329,8.49667,266.986,-79.1
20110504,535.79,54.35,0.258039,0.696611,8.15585,275.142,-77.45
20110505,534.27,53.25,0.258894,0.690698,8.19466,283.336,-78.55
20110506,535.3,53.9,0.25987,0.694901,8.25364,291.59,-77.9
20110509,537.68,54.95,0.255964,0.70711,8.85529,300.445,-76.85
20110510,542.66,57.75,0.250106,0.731387,9.57456,310.02,-74.05
20110511,535.45,52.95,0.254805,0.699935,9.09878,319.119,-78.85
20110512,535.05,52.4,0.253828,0.699419,9.36657,328.485,-79.4
20110513,529.55,48.85,0.257185,0.674813,9.06753,337.553,-82.95
20110516,518.42,41.45,0.257246,0.624141,8.9546,346.507,-90.35
20110517,530.46,48.4,0.250594,0.682984,9.51731,356.025,-83.4
20110518,529.81,47.7,0.249739,0.681067,9.77107,365.796,-84.1
20110519,531.25,47.95,0.244552,0.690871,10.4995,376.295,-83.85
20110520,524.03,43,0.245345,0.656695,10.4591,386.754,-88.8
20110523,518.39,39.85,0.250777,0.627581,9.90328,396.658,-91.95
20110524,518.26,39.5,0.249922,0.627542,10.1695,406.827,-92.3
20110525,519.67,39.95,0.247664,0.635596,10.6022,417.429,-91.85
20110526,518.13,38.45,0.244491,0.629043,11.1213,428.551,-93.35
20110527,520.9,39.85,0.242721,0.644528,11.4618,440.013,-91.95
20110531,529.02,44.1,0.234848,0.691145,12.4433,452.456,-87.7
20110601,525.6,42.7,0.245162,0.66944,11.4774,463.933,-89.1
20110602,528.06,44.75,0.250411,0.680061,11.0721,475.005,-87.05
20110603,523.08,41.6,0.253828,0.654435,10.8331,485.839,-90.2
20110606,521.06,39.95,0.252303,0.645223,11.1591,496.998,-91.85
20110607,519.03,38.6,0.253584,0.634721,11.1973,508.195,-93.2
20110608,519.17,38.6,0.2545,0.635691,11.2841,519.479,-93.2
20110609,516.73,36.45,0.250289,0.624363,11.881,531.36,-95.35
20110610,509.505,31.95,0.250838,0.583958,11.868,543.228,-99.85
20110613,504.73,28.35,0.244308,0.556218,12.6776,555.906,-103.45
20110614,508.37,30.2,0.244003,0.578454,12.8506,568.756,-101.6
20110615,502.95,27.65,0.250594,0.545467,12.2634,581.02,-104.15
20110616,500.37,27.1,0.260664,0.530397,11.4044,592.424,-104.7
20110617,485.02,20.6,0.272259,0.442178,9.76117,602.185,-111.2
20110620,484.58,18.7,0.256697,0.431901,11.4654,613.651,-113.1
20110621,493,21.5,0.248031,0.4814,12.3007,625.951,-110.3
20110622,487.005,18.4,0.246688,0.440941,12.5132,638.465,-113.4
20110623,480.22,15.55,0.248641,0.39642,12.3703,650.835,-116.25
20110624,474.88,13.4,0.24919,0.360929,12.4024,663.237,-118.4
20110627,482.8,16,0.246139,0.409884,12.6601,675.897,-115.8
20110628,493.65,20.6,0.245528,0.482434,12.5061,688.404,-111.2
20110629,497.57,22.3,0.245223,0.508429,12.6956,701.099,-109.5
20110630,506.38,26.55,0.242172,0.568048,12.9232,714.022,-105.25
20110701,521.028,35.2,0.240097,0.664397,12.5921,726.614,-96.6
20110705,532.44,44.2,0.257246,0.72269,11.1718,737.786,-87.6
20110706,535.36,46.9,0.266766,0.733349,10.5796,748.366,-84.9
20110707,546.6,55.3,0.267194,0.787639,10.4199,758.785,-76.5
20110708,531.99,43.95,0.265912,0.719418,10.2596,769.045,-87.85
20110711,527.28,41,0.273174,0.69153,9.8189,778.864,-90.8
20110712,534.01,46.4,0.283794,0.722815,9.07078,787.935,-85.4
